Indicator,Group,State,Subgroup,Time Period,Time Period Start Date,Time Period End Date,Value
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Rhode Island,Rhode Island,13,2020-08-19,2020-08-31,23.1
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,South Carolina,South Carolina,13,2020-08-19,2020-08-31,20.5
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,South Dakota,South Dakota,13,2020-08-19,2020-08-31,17.8
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Tennessee,Tennessee,13,2020-08-19,2020-08-31,21.2
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Texas,Texas,13,2020-08-19,2020-08-31,16.4
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Utah,Utah,13,2020-08-19,2020-08-31,23.9
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Vermont,Vermont,13,2020-08-19,2020-08-31,23.2
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Virginia,Virginia,13,2020-08-19,2020-08-31,18.9
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Washington,Washington,13,2020-08-19,2020-08-31,20.9
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,West Virginia,West Virginia,13,2020-08-19,2020-08-31,22.4
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Wisconsin,Wisconsin,13,2020-08-19,2020-08-31,19.7
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Wyoming,Wyoming,13,2020-08-19,2020-08-31,18.7
"Received Counseling or Therapy, Last 4 Weeks",National Estimate,United States,United States,13,2020-08-19,2020-08-31,8.7
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,18 - 29 years,13,2020-08-19,2020-08-31,12.2
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,30 - 39 years,13,2020-08-19,2020-08-31,11.7
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,40 - 49 years,13,2020-08-19,2020-08-31,10.0
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,50 - 59 years,13,2020-08-19,2020-08-31,8.4
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,60 - 69 years,13,2020-08-19,2020-08-31,5.4
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,70 - 79 years,13,2020-08-19,2020-08-31,4.1
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,80 years and above,13,2020-08-19,2020-08-31,3.0
"Received Counseling or Therapy, Last 4 Weeks",By Gender,United States,Male,13,2020-08-19,2020-08-31,6.7
"Received Counseling or Therapy, Last 4 Weeks",By Gender,United States,Female,13,2020-08-19,2020-08-31,10.6
"Received Counseling or Therapy, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,United States,Did not experience symptoms of anxiety/depression in the past 4 weeks,13,2020-08-19,2020-08-31,4.8
"Received Counseling or Therapy, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,United States,Experienced symptoms of anxiety/depression in past 4 weeks,13,2020-08-19,2020-08-31,15.7
"Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,Hispanic or Latino,13,2020-08-19,2020-08-31,7.3
"Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic white, single race",13,2020-08-19,2020-08-31,9.4
"Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic black, single race",13,2020-08-19,2020-08-31,7.7
"Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",13,2020-08-19,2020-08-31,6.2
"Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",13,2020-08-19,2020-08-31,10.6
"Received Counseling or Therapy, Last 4 Weeks",By Education,United States,Less than a high school diploma,13,2020-08-19,2020-08-31,7.1
"Received Counseling or Therapy, Last 4 Weeks",By Education,United States,High school diploma or GED,13,2020-08-19,2020-08-31,6.6
"Received Counseling or Therapy, Last 4 Weeks",By Education,United States,Some college/Associate's degree,13,2020-08-19,2020-08-31,8.7
"Received Counseling or Therapy, Last 4 Weeks",By Education,United States,Bachelor's degree or higher,13,2020-08-19,2020-08-31,11.1
"Received Counseling or Therapy, Last 4 Weeks",By State,Alabama,Alabama,13,2020-08-19,2020-08-31,8.5
"Received Counseling or Therapy, Last 4 Weeks",By State,Alaska,Alaska,13,2020-08-19,2020-08-31,7.5
"Received Counseling or Therapy, Last 4 Weeks",By State,Arizona,Arizona,13,2020-08-19,2020-08-31,7.3
"Received Counseling or Therapy, Last 4 Weeks",By State,Arkansas,Arkansas,13,2020-08-19,2020-08-31,6.1
"Received Counseling or Therapy, Last 4 Weeks",By State,California,California,13,2020-08-19,2020-08-31,9.5
"Received Counseling or Therapy, Last 4 Weeks",By State,Colorado,Colorado,13,2020-08-19,2020-08-31,10.1
"Received Counseling or Therapy, Last 4 Weeks",By State,Connecticut,Connecticut,13,2020-08-19,2020-08-31,12.3
"Received Counseling or Therapy, Last 4 Weeks",By State,Delaware,Delaware,13,2020-08-19,2020-08-31,10.0
"Received Counseling or Therapy, Last 4 Weeks",By State,District of Columbia,District of Columbia,13,2020-08-19,2020-08-31,19.1
"Received Counseling or Therapy, Last 4 Weeks",By State,Florida,Florida,13,2020-08-19,2020-08-31,7.8
"Received Counseling or Therapy, Last 4 Weeks",By State,Georgia,Georgia,13,2020-08-19,2020-08-31,7.9
"Received Counseling or Therapy, Last 4 Weeks",By State,Hawaii,Hawaii,13,2020-08-19,2020-08-31,11.9
"Received Counseling or Therapy, Last 4 Weeks",By State,Idaho,Idaho,13,2020-08-19,2020-08-31,8.3
"Received Counseling or Therapy, Last 4 Weeks",By State,Illinois,Illinois,13,2020-08-19,2020-08-31,8.8
"Received Counseling or Therapy, Last 4 Weeks",By State,Indiana,Indiana,13,2020-08-19,2020-08-31,6.8
"Received Counseling or Therapy, Last 4 Weeks",By State,Iowa,Iowa,13,2020-08-19,2020-08-31,8.1
"Received Counseling or Therapy, Last 4 Weeks",By State,Kansas,Kansas,13,2020-08-19,2020-08-31,7.7
"Received Counseling or Therapy, Last 4 Weeks",By State,Kentucky,Kentucky,13,2020-08-19,2020-08-31,5.8
"Received Counseling or Therapy, Last 4 Weeks",By State,Louisiana,Louisiana,13,2020-08-19,2020-08-31,9.5
"Received Counseling or Therapy, Last 4 Weeks",By State,Maine,Maine,13,2020-08-19,2020-08-31,12.4
"Received Counseling or Therapy, Last 4 Weeks",By State,Maryland,Maryland,13,2020-08-19,2020-08-31,8.7
"Received Counseling or Therapy, Last 4 Weeks",By State,Massachusetts,Massachusetts,13,2020-08-19,2020-08-31,12.7
"Received Counseling or Therapy, Last 4 Weeks",By State,Michigan,Michigan,13,2020-08-19,2020-08-31,9.0
"Received Counseling or Therapy, Last 4 Weeks",By State,Minnesota,Minnesota,13,2020-08-19,2020-08-31,9.5
"Received Counseling or Therapy, Last 4 Weeks",By State,Mississippi,Mississippi,13,2020-08-19,2020-08-31,6.8
"Received Counseling or Therapy, Last 4 Weeks",By State,Missouri,Missouri,13,2020-08-19,2020-08-31,7.9
"Received Counseling or Therapy, Last 4 Weeks",By State,Montana,Montana,13,2020-08-19,2020-08-31,9.2
"Received Counseling or Therapy, Last 4 Weeks",By State,Nebraska,Nebraska,13,2020-08-19,2020-08-31,6.8
"Received Counseling or Therapy, Last 4 Weeks",By State,Nevada,Nevada,13,2020-08-19,2020-08-31,6.7
"Received Counseling or Therapy, Last 4 Weeks",By State,New Hampshire,New Hampshire,13,2020-08-19,2020-08-31,7.1
"Received Counseling or Therapy, Last 4 Weeks",By State,New Jersey,New Jersey,13,2020-08-19,2020-08-31,9.3
"Received Counseling or Therapy, Last 4 Weeks",By State,New Mexico,New Mexico,13,2020-08-19,2020-08-31,10.1
"Received Counseling or Therapy, Last 4 Weeks",By State,New York,New York,13,2020-08-19,2020-08-31,10.5
"Received Counseling or Therapy, Last 4 Weeks",By State,North Carolina,North Carolina,13,2020-08-19,2020-08-31,8.9
"Received Counseling or Therapy, Last 4 Weeks",By State,North Dakota,North Dakota,13,2020-08-19,2020-08-31,4.9
"Received Counseling or Therapy, Last 4 Weeks",By State,Ohio,Ohio,13,2020-08-19,2020-08-31,9.6
"Received Counseling or Therapy, Last 4 Weeks",By State,Oklahoma,Oklahoma,13,2020-08-19,2020-08-31,7.5
"Received Counseling or Therapy, Last 4 Weeks",By State,Oregon,Oregon,13,2020-08-19,2020-08-31,13.0
"Received Counseling or Therapy, Last 4 Weeks",By State,Pennsylvania,Pennsylvania,13,2020-08-19,2020-08-31,9.3
"Received Counseling or Therapy, Last 4 Weeks",By State,Rhode Island,Rhode Island,13,2020-08-19,2020-08-31,13.5
"Received Counseling or Therapy, Last 4 Weeks",By State,South Carolina,South Carolina,13,2020-08-19,2020-08-31,5.4
"Received Counseling or Therapy, Last 4 Weeks",By State,South Dakota,South Dakota,13,2020-08-19,2020-08-31,6.2
"Received Counseling or Therapy, Last 4 Weeks",By State,Tennessee,Tennessee,13,2020-08-19,2020-08-31,8.2
"Received Counseling or Therapy, Last 4 Weeks",By State,Texas,Texas,13,2020-08-19,2020-08-31,6.7
"Received Counseling or Therapy, Last 4 Weeks",By State,Utah,Utah,13,2020-08-19,2020-08-31,9.4
"Received Counseling or Therapy, Last 4 Weeks",By State,Vermont,Vermont,13,2020-08-19,2020-08-31,11.4
"Received Counseling or Therapy, Last 4 Weeks",By State,Virginia,Virginia,13,2020-08-19,2020-08-31,9.3
"Received Counseling or Therapy, Last 4 Weeks",By State,Washington,Washington,13,2020-08-19,2020-08-31,10.3
"Received Counseling or Therapy, Last 4 Weeks",By State,West Virginia,West Virginia,13,2020-08-19,2020-08-31,5.1
"Received Counseling or Therapy, Last 4 Weeks",By State,Wisconsin,Wisconsin,13,2020-08-19,2020-08-31,7.2
"Received Counseling or Therapy, Last 4 Weeks",By State,Wyoming,Wyoming,13,2020-08-19,2020-08-31,5.3
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",National Estimate,United States,United States,13,2020-08-19,2020-08-31,22.4
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,United States,18 - 29 years,13,2020-08-19,2020-08-31,23.3
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,United States,30 - 39 years,13,2020-08-19,2020-08-31,23.1
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,United States,40 - 49 years,13,2020-08-19,2020-08-31,23.6
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,United States,50 - 59 years,13,2020-08-19,2020-08-31,23.9
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,United States,60 - 69 years,13,2020-08-19,2020-08-31,21.2
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,United States,70 - 79 years,13,2020-08-19,2020-08-31,19.6
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Age,United States,80 years and above,13,2020-08-19,2020-08-31,14.8
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Gender,United States,Male,13,2020-08-19,2020-08-31,16.3
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Gender,United States,Female,13,2020-08-19,2020-08-31,28.0
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,United States,Did not experience symptoms of anxiety/depression in the past 4 weeks,13,2020-08-19,2020-08-31,13.9
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,United States,Experienced symptoms of anxiety/depression in past 4 weeks,13,2020-08-19,2020-08-31,37.5
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,Hispanic or Latino,13,2020-08-19,2020-08-31,17.2
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic white, single race",13,2020-08-19,2020-08-31,25.6
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic black, single race",13,2020-08-19,2020-08-31,15.6
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",13,2020-08-19,2020-08-31,11.1
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",13,2020-08-19,2020-08-31,25.0
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Education,United States,Less than a high school diploma,13,2020-08-19,2020-08-31,20.0
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Education,United States,High school diploma or GED,13,2020-08-19,2020-08-31,20.1
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Education,United States,Some college/Associate's degree,13,2020-08-19,2020-08-31,23.5
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By Education,United States,Bachelor's degree or higher,13,2020-08-19,2020-08-31,24.0
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Alabama,Alabama,13,2020-08-19,2020-08-31,25.2
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Alaska,Alaska,13,2020-08-19,2020-08-31,19.2
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Arizona,Arizona,13,2020-08-19,2020-08-31,20.2
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Arkansas,Arkansas,13,2020-08-19,2020-08-31,25.3
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,California,California,13,2020-08-19,2020-08-31,20.1
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Colorado,Colorado,13,2020-08-19,2020-08-31,22.0
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Connecticut,Connecticut,13,2020-08-19,2020-08-31,23.1
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Delaware,Delaware,13,2020-08-19,2020-08-31,24.0
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,District of Columbia,District of Columbia,13,2020-08-19,2020-08-31,27.6
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Florida,Florida,13,2020-08-19,2020-08-31,21.3
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Georgia,Georgia,13,2020-08-19,2020-08-31,22.8
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Hawaii,Hawaii,13,2020-08-19,2020-08-31,19.6
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Idaho,Idaho,13,2020-08-19,2020-08-31,25.2
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Illinois,Illinois,13,2020-08-19,2020-08-31,20.3
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Indiana,Indiana,13,2020-08-19,2020-08-31,25.3
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Iowa,Iowa,13,2020-08-19,2020-08-31,25.0
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Kansas,Kansas,13,2020-08-19,2020-08-31,23.9
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Kentucky,Kentucky,13,2020-08-19,2020-08-31,28.4
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Louisiana,Louisiana,13,2020-08-19,2020-08-31,26.6
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Maine,Maine,13,2020-08-19,2020-08-31,28.0
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Maryland,Maryland,13,2020-08-19,2020-08-31,20.5
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Massachusetts,Massachusetts,13,2020-08-19,2020-08-31,24.6
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Michigan,Michigan,13,2020-08-19,2020-08-31,23.4
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Minnesota,Minnesota,13,2020-08-19,2020-08-31,23.7
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Mississippi,Mississippi,13,2020-08-19,2020-08-31,21.7
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Missouri,Missouri,13,2020-08-19,2020-08-31,25.9
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Montana,Montana,13,2020-08-19,2020-08-31,21.9
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Nebraska,Nebraska,13,2020-08-19,2020-08-31,25.3
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Nevada,Nevada,13,2020-08-19,2020-08-31,17.7
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,New Hampshire,New Hampshire,13,2020-08-19,2020-08-31,24.3
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,New Jersey,New Jersey,13,2020-08-19,2020-08-31,21.8
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,New Mexico,New Mexico,13,2020-08-19,2020-08-31,23.0
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,New York,New York,13,2020-08-19,2020-08-31,21.9
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,North Carolina,North Carolina,13,2020-08-19,2020-08-31,22.5
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,North Dakota,North Dakota,13,2020-08-19,2020-08-31,20.7
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Ohio,Ohio,13,2020-08-19,2020-08-31,23.6
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Oklahoma,Oklahoma,13,2020-08-19,2020-08-31,24.3
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Oregon,Oregon,13,2020-08-19,2020-08-31,28.3
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Pennsylvania,Pennsylvania,13,2020-08-19,2020-08-31,25.5
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Rhode Island,Rhode Island,13,2020-08-19,2020-08-31,25.9
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,South Carolina,South Carolina,13,2020-08-19,2020-08-31,21.9
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,South Dakota,South Dakota,13,2020-08-19,2020-08-31,20.1
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",By State,Tennessee,Tennessee,13,2020-08-19,2020-08-31,24.0
